394.3359,2103.367228.5156,1674.0850
37905303,2.5866,3823.2422,9889.0869
37905342,2.6394,3813.4766,10065.1300
37905381,2.5866,3813.4766,9863.8281
37905420,2.3490,3867.1875,9084.1348
37905458,2.3490,3862.3047,9072.6650
37905497,2.4282,3828.1250,9295.4893
37905536,2.5338,3798.8281,9625.4082
37905573,2.5866,3842.7734,9939.6064
37905612,2.4546,3847.6563,9444.4688
37905650,2.4810,3828.1250,9497.5654
37905689,2.5866,3798.8281,9825.9385
37905727,2.7713,3808.5938,10554.8550
37905767,2.6658,3842.7734,10243.8800
37905807,2.6130,3828.1250,10002.7550
37905846,2.4810,3828.1250,9497.5654
37905885,2.4810,3837.8906,9521.7939
37905923,2.6921,3813.4766,10266.4340
37905963,2.5338,3715.8203,9415.0850
37906001,2.5074,3686.5234,9243.5527
37906039,2.5074,3764.6484,9439.4424
37906078,2.5338,3935.5469,9971.8242
37906116,2.5866,3867.1875,10002.7550
37906156,2.3226,3828.1250,8891.3379
37906195,2.4018,3833.0078,9206.1787
37906233,2.5074,3852.5391,9659.8193
37906272,2.4546,3833.0078,9408.5127
37906310,2.5338,3828.1250,9699.6406
37906349,2.4282,3823.2422,9283.6328
37906386,2.4546,3847.6563,9444.4688
37906425,2.7185,3813.4766,10367.0840
37906465,2.6130,3798.8281,9926.2031
37906503,2.4810,3813.4766,9461.2227
37906542,2.6130,3837.8906,10028.2720
37906581,2.5866,3803.7109,9838.5684
37906620,2.5338,3828.1250,9699.6406
37906658,2.4546,3823.2422,9384.5420
37906697,2.5338,3857.4219,9773.8730
37906736,2.4546,3828.1250,9396.5273
37906774,2.4546,3847.6563,9444.4688
37906812,2.3490,3833.0078,9003.8457
37906850,2.5074,3833.0078,9610.8467
37906889,2.5338,3847.6563,9749.1289
37906928,2.5074,3833.0078,9610.8467
37906966,2.5866,3818.3594,9876.4580
37907005,2.4810,3828.1250,9497.5654
37907043,2.5074,3823.2422,9586.3604
37907082,2.5338,3833.0078,9712.0127
37907120,2.5602,3828.1250,9800.6787
37907159,2.4810,3813.4766,9461.2227
37907197,2.5602,3813.4766,9763.1758
37907235,2.5074,3847.6563,9647.5762
37907274,2.5866,3828.1250,9901.7168
37907312,2.4282,3842.7734,9331.0596
37907351,2.4546,3837.8906,9420.4980
37907389,2.3226,3847.6563,8936.7021
37907428,2.3226,3857.4219,8959.3838
37907467,2.4018,3852.5391,9253.0898
37907505,2.4546,3837.8906,9420.4980
37907544,2.5602,3798.8281,9725.6738
37907581,2.5602,3833.0078,9813.1797
37907620,2.5074,3847.6563,9647.5762
37907659,2.5866,3852.5391,9964.8662
37907697,2.4810,3813.4766,9461.2227
37907736,2.5338,3823.2422,9687.2686
37907774,2.5074,3857.4219,9672.0625
37907813,2.4018,3862.3047,9276.5449
37907851,2.4546,3833.0078,9408.5127
37907890,2.4810,3818.3594,9473.3369
37907929,2.6394,3818.3594,10078.0180
37907968,2.5602,3837.8906,9825.6807
37908006,2.4546,3823.2422,9384.5420
37908044,2.5074,3818.3594,9574.1172
37908083,2.4282,3847.6563,9342.9160
37908121,2.4546,3862.3047,9480.4248
37908160,2.3226,3857.4219,8959.3838
37908199,2.4018,3833.0078,9206.1787
37908237,2.5338,3798.8281,9625.4082
37908276,2.5866,3833.0078,9914.3467
37908314,2.6394,3842.7734,10142.4550
37908354,2.4810,3828.1250,9497.5654
37908392,2.4282,3823.2422,9283.6328
