12164b?I??1,411.3281,868.1014
288147014,2.1643,3808.5938,8242.8398
288147054,2.2435,3823.2422,8577.2695
288147093,2.1115,3793.9453,8010.8643
288147133,2.2435,3813.4766,8555.3613
288147172,2.0851,3774.4141,7870.0044
288147212,2.2171,3813.4766,8454.7090
288147252,2.1643,3818.3594,8263.9746
288147291,2.1907,3803.7109,8332.6650
288147331,2.2698,3823.2422,8678.1777
288147369,2.1379,3793.9453,8111.0000
288147409,2.1379,3813.4766,8152.7554
288147449,2.1379,3798.8281,8121.4390
288147488,2.2698,3798.8281,8622.7617
288147528,2.3490,3784.1797,8889.1475
288147567,2.4282,3774.4141,9165.0684
288147607,2.4282,3803.7109,9236.2070
288147647,2.1643,3798.8281,8221.7041
288147686,2.2171,3823.2422,8476.3604
288147726,2.2171,3779.2969,8378.9307
288147765,2.1115,3837.8906,8103.6538
288147805,2.1379,3818.3594,8163.1943
